#wylie	en
a b+hi la	abhila
de 'dra	dendra
de lta bas na	detawé na
de wa	deva
dga' ldan	ganden
dge 'dun	gendün
d+hA ra ya	dharaya
d+ha re	dharé
d+ha ri	dhari
d+ha rmA	dharma
d+ha ro da	dharoda
d+hA tu	dhatu
d+harmA	dharma
d+harma	dharma
d+harmA pa la	dharmapala
d+harma ta	dharmata
d+hartu	dhatu
d+he wa	deva
d+hu ma tha la	dhumathala
d+hu ru	dhuru
d+hUpe	dhupé
d+h+ya mi	dhyami
'di 'dra	dindra
'di nyid du	di nyi du
dka' 'grel	kandrel
'dod 'jo'i ba	döjöba
dpal 'bar ba	pel barwa
dri D+ho	dridho
dri D+h+ro	dridho
du 'bral	dudrel
du 'dzi	dudzi
du med	du mé
duSh+TaM	dushten
duSh+TaN	dushten
duSh+tan	dushten
dwa ti'i bu	datibu
dzaH	dza
dzI wan+ti	dziwenti
dz+nyA	jña
dz+nyA na	jñana
dz+wa la	dzala
e dza	edza
e ka tsa Ti	ekadzati
e ka tsa ti	ekadzati
e ma hoH	emaho
ga 'dra	gandra
ga ga na	gagana
ga te	gaté
gan+d+he	gendhé
gang gA	ganga
gang la la	gang lala
gangs chen mtsho	gangchen tso
g+ha g+ha	ghagha
g+ha Na	ghana
gnong 'gyod pa	nong gyöpa
gnyan chen thang lha	nyenchen tanglha
gnyis su 'dzin pa	nyisu dzinpa
gra ha	graha
gter chen po	ter chenpo
gtsug lag khang	tsuk lakhang
gu h+ya	guhya
guh+ya	guhya
gza' chen po	za chenpo
gzhi lam 'bras bu	zhi lam drebu
ha ri ni sa	harinisa
ha ya gri wa	hayagriva
haM	hang
he he	hé hé
he ru ka	heruka
he ru kaH	heruka
he tu	hetu
he tun+te ShAn+ta thA ga to	hetun teshan tathagato
he tun+te ShAn+ta tha ga to	hetun teshan tathagato
hoH	ho
hoha	ho
hri da ya	hridaya
hUM	hung
hU~M	hung
hU~M`	hung
h+ya wa data	hyavadat
i maM	imam
ka mud+ga ra	kamügara
ka ta	kata
kA ya	kaya
kang+ka	kangka
karma	karma
kaShe Ta pA la	kshetrapala
kha bad	khabé
khA hiH	khahi
kha mun+t+ra	khamuntra
kha na ma tho	khana matho
kha thun	khatün
kha T+wAM	khatam
kha T+wAM ka	khatamka
khang chen po	khang chenpo
ki bswo cha sgra	kiso chadra
kI lA ya	kilaya
kI li	kili
king+ka ra	kingkara
klu chen po	lu chenpo
kro d+ha	krodha
kro d+hi	krodhi
ku ru	kuru
kun bzang	künzang
kun tu bzang	küntuzang
kun tu bzang mo	küntuzangmo
kun tu bzang po	küntuzangpo
lang+ka	langka
lde'u btsan	detsen
lha chen po	lha chenpo
lha rje	lharjé
ljang nag	jang nak
lnga bcu	ngapchu
lnga brgya	ngapgya
lum+bi	lumbi
lum+bi ni	lumbini
ma ga d+ha	magadha
ma hA kA la	mahakala
ma hA kA li	mahakali
ma ma	mama
ma nu	manu
ma 'ongs	maong
mA ra ya	maraya
ma thob bar	mathopar
mAH raH yaH phaTaH	ma ra ya phé
mahA ba la	mahabala
mahA kA la	mahakala
man ngag	mengak
maN+Da la	mandala
maN+Da le	mandalé
man+dA ra	mendara
man+da ra	mendara
man+da rA ba	mandarava
maN+Dal	mandel
mang+ga la	mangala
mang+ga laM	mangalam
mang+ha le	manghalé
mchod 'os	chö ö
mchod rten	chörten
mchog thun mong	chok tünmong
meg+ha	megha
mi 'bral	mindrel
mi 'byung	minjung
mi 'dod	mindö
mi 'gag	mingak
mi 'gyur	mingyur
mi ldog	mindok
mi Ta ya	mitaya
mkha' 'gro	khandro
mkha' 'gro ma	khandroma
mkhas 'jug	khenjuk
mkhyen brtse nus	khyen tsé nü
mon Ta	mönta
mtshan rtags can	tsentak chen
mu khe b+h+ya	mukhebé
mu khe b+h+yaH	mukhebé
mu mtha' med pa	mutha mepa
mu ne	muné
mu ne ye	muneyé
muny+tsa	muntsa
mya ngan	nya ngen
na kra	nakra
na moH	namo
na raka	narak
nai r+ny+dza na	nairanjana
nai wa d+ya	nevidé
nAk+Sha tra	nakshatra
namaH	nama
ngo bo nyid ku	ngowo nyiku
ni ro da	nirodha
ni ro d+ha	nirodha
nir+YA	nirya
n+rI	nri
nr-i	nri
nub ba lang spyod	nup balangchö
nying lag	nying lak
o rgyan	orgyen
pa d+ma	pema
pA la ya	palaya
pA ra	para
pA ra mi tA	paramita
pad nyi zla ba	penyi dawa
pad+ma	pema
pad+ma'i	pemé
pad+mas	pemé
pad+mI	pemi
pad+mo	pemo
pAd+yaM	padam
palbe'u	pel beu
pany+tsa	pentsa
pha la	phala
phaDa	phé
phaiM	phem
phaT	phé
phata	phé
phaTaH	phé
phun sum tshogs pa	phünsum tsokpa
phyi nang bar	chi nang bar
phyi nang gsang	chi nang sang
phyi nang gsang ba	chi nang sangwa
pi waM	piwam
pra b+hA wA	prabhava
pra Na ye	pranayé
pra Ni d+hA na	pranidhana
pra tI ts+tsha ya	pratitsaya
pra tits+tsha	pratitsa
pra yats+tsha	prayatsa
pradzanyA	prajña
pradzanyA pA ra mi tA	prajñaparamita
pradz+ny+ya pA ra mi tA	prajñaparamita
pU dza	puja
pu dza	puja
pu n+ye	punyé
pu Sh+pe	pupé
puN+Da ri ka	pundarika
pUSh+pe	pupé
puSh+pe	pupé
ra tsa	ratsa
rak+Sha	raksha
rak+sha	raksha
rak+ta	rakta
ral+li	rali
rat+na	ratna
rdo rje	dorjé
rdo rje gro lod	dorjé drolö
rdzogs chen	dzogchen
rdzogs chen pa	dzogchenpa
rdzoT	dzok
re 'dod	rendö
rgya mtsho	gyamtso
rgyal rtse	gyantsé
rgyas 'debs	gyendep
rgyas 'debs ma	gyendepma
rgyu 'bras	gyundré
rgyu 'grul	gyundrul
rgyu mtshan	gyumtsen
rig 'dzin	rigdzin
rig pa	rigpa
rmad du byung ba	medu jungwa
rnam mang thos sras	nammang thösé
rnam sprul pa	namtrulpé
rta mgrin	tamdrin
rtsa rlung thig le	tsalung tiklé
ru tra	rudra
sa bcad	sapché
sA d+hu	sadhu
sa ma ya satwa	samayasato
sa man+ta	samenta
sa 'og	sawo
sa pa ri wa ra	sapariwara
saM ga te	samgaté
saM g+ha	sangha
saM g+ha ya	sanghaya
sangs rgyas	sangyé
sarba	sarva
satwa	sato
savA hA	soha
savaha	soha
sde dge	dergé
seng nge	sengé
seng+ge	sengé
sgro 'dogs	dro dok
sha ra b+ha	sharabha
sha ta ya	shataya
shAkya	shakya
shAn+tiM	shanting
shap+ta	shapta
shes rig	sherik
Sh+NI Sha	nika
shra ma NaH	shramana
shre yaM	shreyang
shud+d+hA	shuddha
shud+d+ho	shuddho
shwa rI	shori
shwa ri	shori
si d+d+hi	siddhi
sid+d+d+haM	siddham
sid+d+hi	siddhi
sku yi dam tshig	kuyi tamtsik
skyabs 'gro	kyamdro
skye 'gro	kyendro
skye mched	kyemché
skyed mos tshal	kyemö tsel
snying po med	nyingpo mé
s+pha ra Na	sapharana
s+pha ra na	sapharana
sprul sku	tulku
spyod 'jug	chönjuk
s+t+waM	tom
su kha	sukha
su po Sh+yo	supokhayo
su poSh+yo	supokhayo
su pra tiShaTha	supratitha
su pra tiSh+Tha	supratitha
su to Sh+yo	sutokhayo
su toSh+yo	sutokhayo
su tsa	sutsa
swa b+hA wa	sobhava
swa b+ha wa	sobhava
swA hA	soha
swA ha	soha
swa hA	soha
swA sti	svasti
swa sti	svasti
swasti	svasti
ta d+ya thA	teyatha
ta khaM	takham
ta krita	takrita
tA re	taré
ta thA ga ta	tathagata
Ta ya	taya
tad+ya thA	teyatha
tad+ya tha	teyatha
te no pa	tenopa
te ShAny+tsa	teshan tsa
tha mi dad pa	tamidepa
thig le	tiklé
thom me ba	tommewa
ti Sh+tha	tishta
ti thi	titi
tiSh+Tha	tishta
traT	tré
tsakra	tsatra
tsaN+Da	tsenda
tsaN+Da lI	tsendali
tshe 'dzin	tsendzin
tsin+ta	tsinta
tsit+ta	tsitta
tsit+taM	tsittam
tsi'u dmar po	tsiu marpo
tut+tA ra	tuttara
tut+tA re	tuttaré
u rgyan	urgyen
u Ta	uta
u tsud+ma	utsüma
u tsuSh+ma	utsukma
ud+ga te	udgaté
ur+Na	urna
ush+tsi Ta ya	utsitaya
ut+pal	utpel
utsatsh+ShiT	utsita
uts+tshiSh+Ta	utsita
wA dI	vadi
wA gi	vagi
wa k+ka	waka
wA rA hI	varahi
wA ra hi	varahi
wa ra hi	varahi
wa ra NA si	varanasi
wAka	waka
wAk+ka	waka
wak+ka	waka
ya mAn+ta ka	yamantaka
yak+sha	yaksha
yang le ber	yanglé wer
ye she	yeshé
yum chen mo	yum chenmo
zhal mjal	zhel jel
zhe 'dod	zhe dö
zung du 'jug pa	zungdu jukpa
